Aircraft,First Flight,Speed,Reliability,Payload,Range of BVR Missiles
F80,1944,0.65,1.0,500,0
F84,1946,0.80,1.0,366,0
F86,1947,0.90,1.0,480,0
F89,1949,0.75,0.5,500,5
F94,1950,0.70,0.5,500,0
F100,1953,1.40,0.5,500,0
F101,1954,1.60,0.5,1000,6
F102,1953,1.20,0.5,1000,6
F104,1954,2.00,0.5,1000,6
F106,1955,1.80,0.7,1000,0
F8,1956,2.00,0.6,1000,6
F5A,1959,1.40,2.5,706,0
F4E,1967,2.20,1.1,1000,10
F14,1971,2.00,0.7,2000,30
F5E,1971,1.60,3.0,5000,0
F15,1972,2.40,2.0,2000,20
F16,1974,1.80,2.4,3000,0
F18,1978,1.80,3.2,3000,20
F20,1982,2.00,4.0,3000,20
